misc,input,animations,measure,draw,sync,gpu,timestamp
0.763508,0.005192,2.000154,0.240731,8.636346,0.877692,14.321693,136449922516779
0.712454,0.004885,1.84323,0.22827,9.147269,1.020154,12.888769,136449939093487
19.776785,0.003807,2.720039,0.215692,0.982,1.030115,5.816808,136449955673464
0.626637,0.004153,2.053077,0.202616,1.081154,0.850846,6.645807,136449988815689
9.146706,0.003808,14.3355,9.118923,2.446423,1.313038,12.077731,136450005385235
19.558431,0.00377,2.895653,0.208616,12.985423,1.527769,7.313577,136450021953971
7.865711,0.004231,4.142846,0.2075,1.230731,1.120269,9.429962,136450055097768
9.146706,0.003808,14.3355,9.118923,2.446423,1.313038,12.077731,136450005385235
19.558431,0.00377,2.895653,0.208616,12.985423,1.527769,7.313577,136450021953971
7.865711,0.004231,4.142846,0.2075,1.230731,1.120269,9.429962,136450055097768
21.500667,0.016654,10.636116,0.553192,5.997038,0.960923,8.082731,136450071667658
7.068792,0.004923,3.824192,0.286077,5.064885,1.042192,43.081846,136450104812418
0.763845,0.003846,4.024346,0.281077,41.017846,1.343423,10.250423,136450121385750
30.839737,0.010308,3.9895,0.42723,7.820308,1.081577,10.183269,136450137960550
10.967895,0.003538,3.376731,0.199962,8.01473,0.940616,7.163038,136450171107392
7.00745,0.003846,3.823577,0.228423,4.291769,0.890961,11.957539,136450187679222
0.473615,0.00523,10.333193,0.216461,2.549269,1.038,12.00927,136450204256403
0.499364,0.004269,10.124846,0.167,0.822808,0.792115,14.915038,136450220829731
0.445739,0.004423,11.666961,0.173462,0.881577,0.895692,12.719154,136450237402625
0.575744,0.004269,9.778808,0.182654,1.072461,0.86627,14.563192,136450253980812
0.734267,0.004962,9.860423,0.178962,1.187115,0.995962,13.821346,136450270554404
0.759289,0.003961,10.262192,0.185962,1.310577,1.160192,12.676846,136450287114229
0.771526,0.004077,10.317384,0.163654,0.758231,0.793346,14.311769,136450303698261
0.721783,0.003808,8.676539,0.180923,2.177115,0.788,15.002846,136450320272888
0.641743,0.003692,9.649808,0.201731,1.755038,0.702885,13.3945,136450336845313
0.560902,0.004269,9.178962,0.186846,1.635269,1.035154,13.004115,136450353430385
23.549165,0.003616,7.970077,0.222846,1.218654,1.2705,5.949269,136450370013583
8.182433,0.003616,38.097,0.177846,1.068961,0.668039,7.080192,136450403171738
31.702329,0.0025,2.415923,0.202192,5.612693,0.788884,4.960385,136450419749304
0.550853,0.003808,2.025846,0.225462,1.352192,0.753654,4.978231,136450469470164
0.772939,0.004077,1.988308,0.191769,0.759,0.770808,5.187808,136450486046732
0.651891,0.003615,1.870731,0.202731,1.083538,0.697654,5.100077,136450502622165
0.576137,0.004115,2.087731,0.174385,0.768269,0.799923,5.426846,136450519194573
0.815319,0.006653,1.759539,0.216038,0.759077,0.774462,5.174231,136450535766045
0.715991,0.004269,7.075962,0.172808,0.782384,0.728769,5.582693,136450552338334
10.075857,0.003615,1.666115,0.164193,0.946077,0.843692,5.694923,136450568910507
