Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,GpuCompleted
0,136442298779096,136442298779096,9223372036854775807,0,136442307244793,136442307249600,136442310096100,136442310434600,136442312681562,136442321845331,136442324609446,136442336446062,136442337658177,403962,575730,136442349172177
0,136442315352358,136442315352358,9223372036854775807,0,136442323734446,136442323737446,136442326035946,136442326327100,136442327617331,136442339186946,136442342803331,136442354344254,136442355702485,383076,677692,136442367249908
0,136442331922449,136442331922449,9223372036854775807,0,136442341306408,136442341310216,136442343186523,136442343473177,136442344498639,136442377002831,136442378745562,136442389318716,136442392206946,331461,735000,136442403380754
0,136442348498482,136442365165149,9223372036854775807,0,136442378740292,136442378743985,136442380612639,136442380912408,136442381663139,136442394109754,136442396118523,136442407474562,136442408784485,381461,708308,136442420192908
0,136442398234886,136442398234886,9223372036854775807,0,136442398825331,136442398828946,136442408308369,136442408537908,136442409166369,136442410616254,136442412768562,136442428222408,136442429611792,350731,638384,3668592087344873472
0,136442414806654,136442414806654,9223372036854775807,0,136442415461331,136442415465716,136442424075946,136442424309177,136442424934677,136442431336869,136442437504292,136442451762562,136442453125062,421846,512808,-5646669504951786376
0,136442431380226,136442431380226,9223372036854775807,0,136442437521908,136442437526100,136442442463369,136442442680600,136442443139485,136442454530139,136442456645254,136442466791062,136442468860716,462730,1449385,4374019681313161216
0,136442398234886,136442398234886,9223372036854775807,0,136442398825331,136442398828946,136442408308369,136442408537908,136442409166369,136442410616254,136442412768562,136442428222408,136442429611792,350731,638384,136442440975523
0,136442414806654,136442414806654,9223372036854775807,0,136442415461331,136442415465716,136442424075946,136442424309177,136442424934677,136442431336869,136442437504292,136442451762562,136442453125062,421846,512808,136442464589331
0,136442431380226,136442431380226,9223372036854775807,0,136442437521908,136442437526100,136442442463369,136442442680600,136442443139485,136442454530139,136442456645254,136442466791062,136442468860716,462730,1449385,136442479488908
1,136442762761611,136442762761611,9223372036854775807,0,136442769474561,136442769479061,136442846728331,136442856514831,136442860339946,136442861077908,136442863665138,136442874385600,136442877061908,397423,564116,136442888504292
0,136442795903147,136442879236482,9223372036854775807,0,136442881005138,136442881008561,136442888982177,136442889223908,136442890047100,136442891051369,136442893591523,136442904148023,136442907037292,568731,906039,136442918870292
0,136442895327755,136442895327755,9223372036854775807,0,136442895888331,136442895892869,136442907045369,136442907270023,136442907872292,136442908624446,136442910605254,136442923013831,136442924491100,314000,841307,136442935714407
0,136442912023515,136442912023515,9223372036854775807,0,136442913977100,136442913981600,136442922178369,136442922456638,136442922920792,136442926155484,136442928528331,136442958013215,136442983089331,2393731,692039,136442993587792
0,136442928597763,136442928597763,9223372036854775807,0,136442929237061,136442929241792,136442938889907,136442939153484,136442940136792,136442984548484,136442986763254,136442996768100,136442998122869,521077,751962,136443008997561
0,136442945167320,136442978500654,9223372036854775807,0,136442988283907,136442988288331,136442996741946,136442996984177,136442998602331,136443001899792,136443004267715,136443018554484,136443021370330,580384,2057000,136443030898869
0,136442994876873,136442994876873,9223372036854775807,0,136443008580600,136443008585177,136443018155215,136443018474177,136443020887715,136443023163254,136443025556754,136443038302869,136443039665446,298193,709654,136443050493677
0,136443011435447,136443011435447,9223372036854775807,0,136443025990677,136443025994523,136443028888677,136443029119138,136443029540946,136443041693177,136443043716369,136443057935061,136443059262715,346192,670770,136443070130138
0,136443028009577,136443044676244,9223372036854775807,0,136443048627484,136443048631215,136443056300754,136443056548215,136443056884561,136443060939330,136443064315023,136443167038984,136443168399523,309538,621192,136443179164561
0,136443061148840,136443061148840,9223372036854775807,0,136443066481600,136443066486215,136443071107677,136443071358061,136443071827254,136443170009100,136443172505600,136443186021677,136443187264369,297730,618731,136443197744753
0,136443077716136,136443161049471,9223372036854775807,0,136443172974523,136443172978907,136443175446292,136443175621792,136443175843407,136443189200600,136443190926177,136443202117292,136443203519792,242308,702884,136443215334484
0,136443177153914,136443260487249,9223372036854775807,0,136443263449984,136443263454407,136443270081407,136443270350176,136443270649984,136443271639176,136443273781023,136443286686176,136443290052369,415576,1039730,136443301051369
0,136443276589940,136443309923274,9223372036854775807,0,136443312734984,136443312739061,136443613406945,136443613698330,136443614432869,136443615387599,136443617686945,136443633115715,136443634641753,347192,852923,236287625789440
0,136443326306604,136443642973277,9223372036854775807,0,136443648334138,136443648338907,136443653183484,136443653463599,136443653692907,136443654492676,136443656338292,136443670525753,136443673224330,301346,565730,130957847822336
0,136443657762241,136443657762241,9223372036854775807,0,136443667520484,136443667525292,136443669523792,136443669755561,136443670045676,136443679050599,136443681064176,136443694219945,136443695598215,362731,668846,1270015094918542943
0,136443276589940,136443309923274,9223372036854775807,0,136443312734984,136443312739061,136443613406945,136443613698330,136443614432869,136443615387599,136443617686945,136443633115715,136443634641753,347192,852923,136443646034715
0,136443326306604,136443642973277,9223372036854775807,0,136443648334138,136443648338907,136443653183484,136443653463599,136443653692907,136443654492676,136443656338292,136443670525753,136443673224330,301346,565730,136443684941484
0,136443657762241,136443657762241,9223372036854775807,0,136443667520484,136443667525292,136443669523792,136443669755561,136443670045676,136443679050599,136443681064176,136443694219945,136443695598215,362731,668846,136443708220907
0,136443690922548,136443690922548,9223372036854775807,0,136443691423561,136443691427830,136443700291330,136443701952484,136443702283407,136443714703176,136443716696061,136443740483868,136443743205715,314000,608346,136443754956445
0,136443724074598,136443724074598,9223372036854775807,0,136443724698061,136443724702676,136443735598330,136443735882522,136443736395484,136443745370753,136443747122215,136443765160099,136443766825253,351000,933654,136443778207830
0,136443757221208,136443757221208,9223372036854775807,0,136443757772368,136443757776292,136443767262330,136443767492791,136443767782561,136443769265330,136443771435253,136443787402061,136443788896368,334269,781269,136443800445484
0,136443790367940,136443790367940,9223372036854775807,0,136443790935753,136443790939638,136443799596907,136443799857099,136443800293676,136443801104599,136443802641868,136443814154330,136443815493945,311847,674923,136443827356561
0,136443806940757,136443806940757,9223372036854775807,0,136443807405022,136443807409753,136443816343484,136443816609291,136443817231138,136443817941330,136443819682138,136443831415484,136443833003907,279693,941461,136443844467138
0,136443823511985,136443823511985,9223372036854775807,0,136443824507291,136443824511676,136443832689907,136443832991407,136443833610368,136443834430984,136443836267368,136443848720638,136443849921561,326193,594269,136443861931291
0,136443856668271,136443856668271,9223372036854775807,0,136443858264445,136443858268907,136443865853984,136443866116599,136443866437715,136443867254022,136443869287830,136443882186714,136443885170330,341500,741730,136443896657368
